learner_id,concept_id,concept_name,difficulty,days_since_last_review,quiz_accuracy,response_time,attempt_count,retention_label
L036,oop_concepts,OOP Concepts,0.35,5.0,0.518,10.12,2,0.551
L007,oop_concepts,OOP Concepts,0.35,15.0,0.0,17.57,5,0.126
L028,computer_architecture,Computer Architecture,0.5,2.0,0.497,14.97,1,0.586
L034,algorithm_design,Algorithm Design,0.5,9.0,0.431,15.07,3,0.184
L012,probability_and_statistics,Probability & Statistics,0.65,21.0,0.0,20.49,4,0.0
L005,operating_systems,Operating Systems,0.6,13.0,0.0,14.26,4,0.123
L004,operating_systems,Operating Systems,0.6,12.0,0.092,18.66,4,0.031
L009,ml_fundamentals,ML Fundamentals,0.5,10.0,0.049,7.72,4,0.132
L016,ml_fundamentals,ML Fundamentals,0.5,16.0,0.145,19.47,5,0.01
L013,algorithm_design,Algorithm Design,0.5,11.0,0.0,16.29,1,0.184
L018,algorithm_design,Algorithm Design,0.5,4.0,0.404,13.61,5,0.369
L033,oop_concepts,OOP Concepts,0.35,12.0,0.199,18.92,4,0.149
L029,computer_architecture,Computer Architecture,0.5,12.0,0.239,15.47,3,0.291
L026,software_engineering,Software Engineering,0.4,17.0,0.008,9.66,5,0.047
L006,neural_networks,Neural Networks,0.6,6.0,0.385,12.69,3,0.331
L026,discrete_mathematics,Discrete Mathematics,0.55,2.0,0.636,11.33,5,0.718
L010,algorithm_design,Algorithm Design,0.5,12.0,0.0,13.12,2,0.087
L026,probability_and_statistics,Probability & Statistics,0.65,8.0,0.065,12.05,5,0.049
L022,neural_networks,Neural Networks,0.6,16.0,0.149,17.89,4,0.117
L034,data_structures,Data Structures,0.4,4.0,0.559,16.15,4,0.512
L013,ml_fundamentals,ML Fundamentals,0.5,1.0,0.865,7.44,1,0.873
L009,dbms_normalization,DBMS Normalization,0.7,3.0,0.322,11.76,2,0.316
L016,data_structures,Data Structures,0.4,10.0,0.116,18.11,5,0.176
L015,computer_networks,Computer Networks,0.55,0.0,1.0,15.25,4,1.0
L025,computer_networks,Computer Networks,0.55,14.0,0.081,17.58,2,0.135
L039,oop_concepts,OOP Concepts,0.35,10.0,0.231,10.73,4,0.292
L004,computer_networks,Computer Networks,0.55,20.0,0.129,20.1,5,0.0
L003,operating_systems,Operating Systems,0.6,12.0,0.0,13.17,1,0.016
L040,discrete_mathematics,Discrete Mathematics,0.55,2.0,0.869,16.01,5,0.682
L007,probability_and_statistics,Probability & Statistics,0.65,15.0,0.0,13.89,1,0.065
L029,computer_architecture,Computer Architecture,0.5,11.0,0.172,14.8,5,0.216
L005,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.029,18.89,1,0.089
L002,oop_concepts,OOP Concepts,0.35,20.0,0.088,14.2,5,0.134
L030,dbms_normalization,DBMS Normalization,0.7,8.0,0.077,16.41,3,0.095
L034,computer_networks,Computer Networks,0.55,6.0,0.332,15.51,2,0.437
L003,discrete_mathematics,Discrete Mathematics,0.55,5.0,0.448,17.6,1,0.487
L010,software_engineering,Software Engineering,0.4,16.0,0.048,16.21,4,0.06
L034,ml_fundamentals,ML Fundamentals,0.5,6.0,0.407,9.96,3,0.478
L014,computer_architecture,Computer Architecture,0.5,9.0,0.151,17.12,1,0.195
L029,probability_and_statistics,Probability & Statistics,0.65,19.0,0.061,11.41,1,0.012
L005,algorithm_design,Algorithm Design,0.5,20.0,0.0,17.65,1,0.062
L035,computer_networks,Computer Networks,0.55,15.0,0.322,19.5,1,0.0
L008,computer_architecture,Computer Architecture,0.5,1.0,0.713,14.17,3,0.657
L030,dbms_normalization,DBMS Normalization,0.7,5.0,0.0,14.56,5,0.115
L001,operating_systems,Operating Systems,0.6,20.0,0.035,12.41,4,0.048
L009,computer_architecture,Computer Architecture,0.5,1.0,0.83,14.2,4,0.9
L019,data_structures,Data Structures,0.4,11.0,0.024,12.18,2,0.099
L010,ml_fundamentals,ML Fundamentals,0.5,20.0,0.06,5.08,3,0.007
L013,neural_networks,Neural Networks,0.6,6.0,0.315,7.1,2,0.253
L035,dbms_normalization,DBMS Normalization,0.7,15.0,0.129,17.1,1,0.01
L011,probability_and_statistics,Probability & Statistics,0.65,8.0,0.168,19.36,4,0.0
L031,software_engineering,Software Engineering,0.4,4.0,0.467,13.65,2,0.352
L022,oop_concepts,OOP Concepts,0.35,5.0,0.431,10.63,1,0.561
L037,computer_networks,Computer Networks,0.55,6.0,0.217,14.92,5,0.347
L001,neural_networks,Neural Networks,0.6,8.0,0.0,15.96,3,0.078
L010,computer_architecture,Computer Architecture,0.5,13.0,0.122,20.76,2,0.076
L039,algorithm_design,Algorithm Design,0.5,13.0,0.121,11.77,4,0.167
L006,ml_fundamentals,ML Fundamentals,0.5,17.0,0.002,18.11,4,0.05
L022,oop_concepts,OOP Concepts,0.35,2.0,0.734,11.17,3,0.706
L039,computer_architecture,Computer Architecture,0.5,9.0,0.21,17.48,3,0.132
L034,neural_networks,Neural Networks,0.6,1.0,0.695,13.52,2,0.772
L020,neural_networks,Neural Networks,0.6,13.0,0.071,22.17,3,0.074
L014,neural_networks,Neural Networks,0.6,11.0,0.0,11.26,3,0.055
L002,operating_systems,Operating Systems,0.6,14.0,0.0,23.82,1,0.135
L019,oop_concepts,OOP Concepts,0.35,21.0,0.0,15.55,3,0.0
L004,data_structures,Data Structures,0.4,18.0,0.02,21.65,4,0.085
L001,dbms_normalization,DBMS Normalization,0.7,3.0,0.396,18.06,4,0.365
L026,computer_architecture,Computer Architecture,0.5,5.0,0.39,13.7,2,0.418
L013,computer_networks,Computer Networks,0.55,12.0,0.281,14.25,5,0.15
L029,dbms_normalization,DBMS Normalization,0.7,9.0,0.0,16.78,1,0.056
L015,discrete_mathematics,Discrete Mathematics,0.55,3.0,0.323,13.37,5,0.458
L003,dbms_normalization,DBMS Normalization,0.7,18.0,0.0,15.05,1,0.052
L027,probability_and_statistics,Probability & Statistics,0.65,8.0,0.218,15.33,4,0.249
L040,discrete_mathematics,Discrete Mathematics,0.55,17.0,0.0,11.07,3,0.036
L021,neural_networks,Neural Networks,0.6,18.0,0.047,23.45,5,0.098
L013,software_engineering,Software Engineering,0.4,16.0,0.154,6.16,2,0.019
L014,neural_networks,Neural Networks,0.6,1.0,0.847,22.65,4,0.596
L035,operating_systems,Operating Systems,0.6,0.0,0.949,16.75,5,1.0
L003,algorithm_design,Algorithm Design,0.5,19.0,0.0,17.68,3,0.061
L030,discrete_mathematics,Discrete Mathematics,0.55,13.0,0.022,14.05,3,0.204
L011,computer_networks,Computer Networks,0.55,5.0,0.16,4.87,3,0.249
L011,oop_concepts,OOP Concepts,0.35,10.0,0.0,18.14,1,0.102
L004,discrete_mathematics,Discrete Mathematics,0.55,9.0,0.322,14.61,2,0.187
L021,oop_concepts,OOP Concepts,0.35,20.0,0.05,12.28,4,0.103
L032,ml_fundamentals,ML Fundamentals,0.5,2.0,0.548,20.96,3,0.621
L037,algorithm_design,Algorithm Design,0.5,20.0,0.0,20.64,5,0.069
L016,algorithm_design,Algorithm Design,0.5,6.0,0.26,18.98,5,0.282
L015,ml_fundamentals,ML Fundamentals,0.5,5.0,0.312,18.62,2,0.441
L015,probability_and_statistics,Probability & Statistics,0.65,13.0,0.001,16.0,1,0.024
L037,computer_architecture,Computer Architecture,0.5,9.0,0.187,15.04,1,0.113
L016,probability_and_statistics,Probability & Statistics,0.65,10.0,0.0,15.22,4,0.0
L036,operating_systems,Operating Systems,0.6,2.0,0.787,13.66,1,0.766
L026,computer_architecture,Computer Architecture,0.5,10.0,0.1,22.25,4,0.067
L022,oop_concepts,OOP Concepts,0.35,11.0,0.314,14.98,3,0.182
L005,discrete_mathematics,Discrete Mathematics,0.55,2.0,0.57,13.05,2,0.515
L011,data_structures,Data Structures,0.4,6.0,0.462,16.12,1,0.368
L038,computer_networks,Computer Networks,0.55,6.0,0.546,17.45,1,0.291
L005,algorithm_design,Algorithm Design,0.5,19.0,0.0,18.9,5,0.068
L026,discrete_mathematics,Discrete Mathematics,0.55,18.0,0.0,16.43,2,0.094
L001,neural_networks,Neural Networks,0.6,2.0,0.732,13.41,2,0.618
L011,neural_networks,Neural Networks,0.6,16.0,0.011,10.59,3,0.051
L037,dbms_normalization,DBMS Normalization,0.7,7.0,0.152,15.25,4,0.288
L015,dbms_normalization,DBMS Normalization,0.7,13.0,0.0,9.15,5,0.063
L031,computer_architecture,Computer Architecture,0.5,12.0,0.165,15.31,1,0.209
L017,computer_networks,Computer Networks,0.55,2.0,0.715,11.62,3,0.568
L030,discrete_mathematics,Discrete Mathematics,0.55,0.0,1.0,16.42,4,0.994
L027,probability_and_statistics,Probability & Statistics,0.65,12.0,0.092,21.66,1,0.066
L011,oop_concepts,OOP Concepts,0.35,5.0,0.225,15.62,3,0.397
L022,discrete_mathematics,Discrete Mathematics,0.55,4.0,0.322,17.79,1,0.337
L036,algorithm_design,Algorithm Design,0.5,0.0,1.0,17.57,1,1.0
L001,oop_concepts,OOP Concepts,0.35,19.0,0.106,20.32,4,0.161
L010,oop_concepts,OOP Concepts,0.35,19.0,0.237,18.4,2,0.077
L001,algorithm_design,Algorithm Design,0.5,6.0,0.173,21.85,2,0.206
L021,oop_concepts,OOP Concepts,0.35,10.0,0.262,12.3,1,0.219
L011,discrete_mathematics,Discrete Mathematics,0.55,3.0,0.278,16.59,5,0.263
L039,data_structures,Data Structures,0.4,0.0,1.0,16.45,4,1.0
L004,discrete_mathematics,Discrete Mathematics,0.55,17.0,0.0,15.02,1,0.031
L024,discrete_mathematics,Discrete Mathematics,0.55,2.0,0.644,19.97,3,0.694
L024,oop_concepts,OOP Concepts,0.35,15.0,0.036,14.2,3,0.137
L012,neural_networks,Neural Networks,0.6,19.0,0.0,11.08,4,0.092
L038,software_engineering,Software Engineering,0.4,0.0,0.919,8.01,5,1.0
L010,dbms_normalization,DBMS Normalization,0.7,16.0,0.099,16.06,2,0.0
L014,algorithm_design,Algorithm Design,0.5,16.0,0.0,18.86,4,0.101
L036,ml_fundamentals,ML Fundamentals,0.5,1.0,0.898,14.19,2,0.792
L016,operating_systems,Operating Systems,0.6,1.0,0.935,18.73,1,0.852
L013,data_structures,Data Structures,0.4,9.0,0.438,14.53,2,0.382
L029,operating_systems,Operating Systems,0.6,3.0,0.445,18.8,5,0.404
L014,ml_fundamentals,ML Fundamentals,0.5,0.0,1.0,15.52,3,0.981
L021,algorithm_design,Algorithm Design,0.5,8.0,0.355,13.9,4,0.299
L026,algorithm_design,Algorithm Design,0.5,9.0,0.329,25.37,2,0.248
L003,computer_networks,Computer Networks,0.55,15.0,0.0,8.34,5,0.039
L004,operating_systems,Operating Systems,0.6,6.0,0.114,14.74,1,0.149
L024,computer_architecture,Computer Architecture,0.5,11.0,0.148,14.73,3,0.111
L032,computer_architecture,Computer Architecture,0.5,5.0,0.444,10.62,3,0.453
L034,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.213,17.1,4,0.097
L036,discrete_mathematics,Discrete Mathematics,0.55,5.0,0.607,15.95,2,0.501
L002,operating_systems,Operating Systems,0.6,21.0,0.0,12.99,5,0.022
L006,discrete_mathematics,Discrete Mathematics,0.55,0.0,0.929,10.71,5,1.0
L033,discrete_mathematics,Discrete Mathematics,0.55,10.0,0.226,19.59,3,0.188
L036,software_engineering,Software Engineering,0.4,0.0,0.812,19.48,2,0.985
L023,algorithm_design,Algorithm Design,0.5,6.0,0.504,9.2,4,0.332
L036,oop_concepts,OOP Concepts,0.35,9.0,0.287,7.87,3,0.269
L025,discrete_mathematics,Discrete Mathematics,0.55,1.0,0.913,15.18,4,0.636
L017,discrete_mathematics,Discrete Mathematics,0.55,7.0,0.201,14.27,3,0.179
L003,operating_systems,Operating Systems,0.6,0.0,0.987,13.79,2,1.0
L003,algorithm_design,Algorithm Design,0.5,12.0,0.163,20.05,3,0.174
L025,computer_architecture,Computer Architecture,0.5,20.0,0.113,12.18,3,0.087
L006,computer_networks,Computer Networks,0.55,16.0,0.0,17.64,1,0.0
L004,algorithm_design,Algorithm Design,0.5,2.0,0.505,15.65,4,0.465
L024,discrete_mathematics,Discrete Mathematics,0.55,18.0,0.041,12.71,1,0.057
L036,dbms_normalization,DBMS Normalization,0.7,5.0,0.239,13.76,3,0.27
L033,probability_and_statistics,Probability & Statistics,0.65,7.0,0.023,19.43,3,0.079
L004,algorithm_design,Algorithm Design,0.5,20.0,0.028,14.42,5,0.064
L003,algorithm_design,Algorithm Design,0.5,11.0,0.009,14.76,4,0.088
L012,data_structures,Data Structures,0.4,1.0,0.802,18.82,3,0.842
L010,discrete_mathematics,Discrete Mathematics,0.55,1.0,0.842,12.47,4,0.877
L021,software_engineering,Software Engineering,0.4,2.0,0.66,15.76,3,0.666
L012,oop_concepts,OOP Concepts,0.35,0.0,1.0,12.81,5,1.0
L028,oop_concepts,OOP Concepts,0.35,16.0,0.024,11.83,1,0.077
L030,algorithm_design,Algorithm Design,0.5,16.0,0.0,11.14,4,0.06
L015,probability_and_statistics,Probability & Statistics,0.65,7.0,0.171,17.59,3,0.04
L030,data_structures,Data Structures,0.4,15.0,0.323,22.27,4,0.0
L005,ml_fundamentals,ML Fundamentals,0.5,5.0,0.364,13.33,3,0.293
L014,computer_architecture,Computer Architecture,0.5,15.0,0.0,10.27,4,0.143
L011,probability_and_statistics,Probability & Statistics,0.65,1.0,0.883,18.09,3,0.77
L034,computer_networks,Computer Networks,0.55,10.0,0.0,14.23,3,0.07
L008,ml_fundamentals,ML Fundamentals,0.5,4.0,0.59,14.01,1,0.493
L004,ml_fundamentals,ML Fundamentals,0.5,6.0,0.219,13.84,2,0.24
L027,algorithm_design,Algorithm Design,0.5,8.0,0.268,9.7,3,0.088
L017,algorithm_design,Algorithm Design,0.5,19.0,0.133,18.21,2,0.073
L036,probability_and_statistics,Probability & Statistics,0.65,2.0,0.493,11.93,5,0.562
L029,ml_fundamentals,ML Fundamentals,0.5,9.0,0.126,21.06,4,0.007
L031,dbms_normalization,DBMS Normalization,0.7,2.0,0.552,20.64,1,0.661
L021,computer_architecture,Computer Architecture,0.5,17.0,0.0,13.68,3,0.091
L026,software_engineering,Software Engineering,0.4,18.0,0.029,12.02,5,0.041
L010,probability_and_statistics,Probability & Statistics,0.65,9.0,0.056,18.0,4,0.015
L029,probability_and_statistics,Probability & Statistics,0.65,3.0,0.411,18.68,4,0.383
L009,dbms_normalization,DBMS Normalization,0.7,11.0,0.0,14.38,5,0.11
L017,neural_networks,Neural Networks,0.6,5.0,0.483,14.4,4,0.355
L036,algorithm_design,Algorithm Design,0.5,19.0,0.0,22.07,2,0.099
L012,probability_and_statistics,Probability & Statistics,0.65,17.0,0.095,11.23,4,0.0
L034,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.004,19.92,5,0.0
L002,oop_concepts,OOP Concepts,0.35,21.0,0.0,7.05,3,0.0
L014,dbms_normalization,DBMS Normalization,0.7,9.0,0.041,17.62,2,0.102
L021,probability_and_statistics,Probability & Statistics,0.65,16.0,0.127,9.64,4,0.0
L012,algorithm_design,Algorithm Design,0.5,15.0,0.009,17.68,5,0.1
L026,computer_architecture,Computer Architecture,0.5,12.0,0.095,16.4,2,0.135
L008,probability_and_statistics,Probability & Statistics,0.65,1.0,0.764,13.74,1,0.775
L031,discrete_mathematics,Discrete Mathematics,0.55,17.0,0.105,24.68,4,0.034
L036,discrete_mathematics,Discrete Mathematics,0.55,8.0,0.0,13.7,4,0.011
L001,discrete_mathematics,Discrete Mathematics,0.55,18.0,0.041,16.9,5,0.058
L022,data_structures,Data Structures,0.4,12.0,0.146,21.5,1,0.246
L021,computer_networks,Computer Networks,0.55,11.0,0.0,14.1,1,0.0
L033,computer_networks,Computer Networks,0.55,13.0,0.265,14.09,1,0.113
L027,probability_and_statistics,Probability & Statistics,0.65,17.0,0.135,11.87,1,0.115
L022,operating_systems,Operating Systems,0.6,3.0,0.477,21.79,1,0.457
L005,probability_and_statistics,Probability & Statistics,0.65,8.0,0.0,18.5,1,0.112
L007,computer_networks,Computer Networks,0.55,9.0,0.12,14.76,3,0.255
L022,computer_networks,Computer Networks,0.55,0.0,0.864,15.78,1,0.988
L038,probability_and_statistics,Probability & Statistics,0.65,9.0,0.042,16.55,1,0.001
L016,computer_networks,Computer Networks,0.55,19.0,0.0,13.8,4,0.083
L004,probability_and_statistics,Probability & Statistics,0.65,13.0,0.0,14.39,2,0.0
L033,dbms_normalization,DBMS Normalization,0.7,8.0,0.047,13.27,1,0.0
L016,software_engineering,Software Engineering,0.4,20.0,0.201,14.61,4,0.047
L005,dbms_normalization,DBMS Normalization,0.7,8.0,0.056,9.68,3,0.111
L037,neural_networks,Neural Networks,0.6,13.0,0.0,21.22,3,0.017
L034,computer_networks,Computer Networks,0.55,18.0,0.0,9.91,3,0.0
L039,probability_and_statistics,Probability & Statistics,0.65,3.0,0.207,16.36,2,0.264
L029,neural_networks,Neural Networks,0.6,17.0,0.0,14.83,5,0.0
L036,dbms_normalization,DBMS Normalization,0.7,16.0,0.097,16.75,2,0.099
L009,ml_fundamentals,ML Fundamentals,0.5,19.0,0.206,21.84,2,0.105
L039,oop_concepts,OOP Concepts,0.35,20.0,0.091,12.75,1,0.005
L023,operating_systems,Operating Systems,0.6,5.0,0.072,14.72,4,0.109
L010,software_engineering,Software Engineering,0.4,17.0,0.198,23.99,5,0.121
L015,neural_networks,Neural Networks,0.6,4.0,0.065,21.38,3,0.242
L037,software_engineering,Software Engineering,0.4,8.0,0.339,20.84,5,0.362
L040,probability_and_statistics,Probability & Statistics,0.65,3.0,0.314,11.45,3,0.222
L014,neural_networks,Neural Networks,0.6,10.0,0.054,14.49,3,0.086
L007,neural_networks,Neural Networks,0.6,18.0,0.045,15.9,2,0.0
L040,computer_architecture,Computer Architecture,0.5,9.0,0.17,11.96,2,0.033
L010,data_structures,Data Structures,0.4,21.0,0.0,8.58,2,0.003
L015,algorithm_design,Algorithm Design,0.5,15.0,0.094,20.91,3,0.015
L025,operating_systems,Operating Systems,0.6,5.0,0.361,13.2,4,0.302
L022,computer_architecture,Computer Architecture,0.5,21.0,0.081,13.95,3,0.031
L015,probability_and_statistics,Probability & Statistics,0.65,21.0,0.0,14.06,4,0.031
L035,data_structures,Data Structures,0.4,19.0,0.167,14.91,4,0.0
L018,dbms_normalization,DBMS Normalization,0.7,17.0,0.059,18.49,1,0.015
L010,ml_fundamentals,ML Fundamentals,0.5,17.0,0.206,17.09,5,0.094
L026,computer_networks,Computer Networks,0.55,12.0,0.21,21.28,4,0.261
L015,discrete_mathematics,Discrete Mathematics,0.55,2.0,0.718,21.62,2,0.73
L029,computer_architecture,Computer Architecture,0.5,0.0,1.0,15.89,1,0.982
L021,algorithm_design,Algorithm Design,0.5,7.0,0.309,17.36,4,0.29
L016,discrete_mathematics,Discrete Mathematics,0.55,7.0,0.38,14.76,1,0.353
L009,data_structures,Data Structures,0.4,3.0,0.556,17.75,1,0.507
L028,computer_networks,Computer Networks,0.55,13.0,0.193,16.62,5,0.029
L010,software_engineering,Software Engineering,0.4,7.0,0.192,19.36,4,0.327
L003,operating_systems,Operating Systems,0.6,16.0,0.042,17.27,1,0.044
L038,operating_systems,Operating Systems,0.6,19.0,0.016,20.27,1,0.0
L032,operating_systems,Operating Systems,0.6,13.0,0.0,14.16,5,0.077
L016,probability_and_statistics,Probability & Statistics,0.65,16.0,0.041,15.67,4,0.0
L033,oop_concepts,OOP Concepts,0.35,17.0,0.059,14.18,4,0.038
L023,ml_fundamentals,ML Fundamentals,0.5,15.0,0.0,11.92,4,0.202
L002,computer_architecture,Computer Architecture,0.5,14.0,0.088,11.36,2,0.005
L039,computer_architecture,Computer Architecture,0.5,11.0,0.239,18.89,2,0.182
L026,oop_concepts,OOP Concepts,0.35,1.0,0.95,21.31,5,0.892
L038,discrete_mathematics,Discrete Mathematics,0.55,21.0,0.029,14.94,3,0.0
L020,ml_fundamentals,ML Fundamentals,0.5,5.0,0.383,17.65,1,0.301
L030,oop_concepts,OOP Concepts,0.35,7.0,0.292,12.73,1,0.408
L028,algorithm_design,Algorithm Design,0.5,19.0,0.038,17.48,2,0.023
L014,probability_and_statistics,Probability & Statistics,0.65,15.0,0.055,16.72,4,0.0
L006,operating_systems,Operating Systems,0.6,18.0,0.0,13.48,4,0.053
L002,discrete_mathematics,Discrete Mathematics,0.55,1.0,0.746,13.02,5,0.71
L039,computer_architecture,Computer Architecture,0.5,8.0,0.27,17.15,2,0.238
L009,data_structures,Data Structures,0.4,5.0,0.519,11.63,4,0.501
L020,dbms_normalization,DBMS Normalization,0.7,4.0,0.17,12.39,1,0.21
L039,discrete_mathematics,Discrete Mathematics,0.55,14.0,0.036,17.9,2,0.07
L030,algorithm_design,Algorithm Design,0.5,17.0,0.058,9.95,1,0.0
L021,dbms_normalization,DBMS Normalization,0.7,6.0,0.045,11.71,4,0.118
L015,discrete_mathematics,Discrete Mathematics,0.55,2.0,0.712,22.65,5,0.79
L022,dbms_normalization,DBMS Normalization,0.7,15.0,0.051,11.71,3,0.0
L022,operating_systems,Operating Systems,0.6,21.0,0.0,11.72,5,0.0
L026,operating_systems,Operating Systems,0.6,9.0,0.055,22.3,3,0.182
L017,discrete_mathematics,Discrete Mathematics,0.55,16.0,0.0,19.83,5,0.058
L030,probability_and_statistics,Probability & Statistics,0.65,8.0,0.11,13.49,2,0.154
L026,ml_fundamentals,ML Fundamentals,0.5,2.0,0.74,9.16,4,0.652
L025,software_engineering,Software Engineering,0.4,7.0,0.535,11.44,4,0.395
L024,discrete_mathematics,Discrete Mathematics,0.55,7.0,0.355,9.05,1,0.292
L012,probability_and_statistics,Probability & Statistics,0.65,21.0,0.0,23.0,5,0.0
L018,algorithm_design,Algorithm Design,0.5,9.0,0.084,14.1,2,0.106
L011,discrete_mathematics,Discrete Mathematics,0.55,3.0,0.406,12.9,4,0.444
L034,data_structures,Data Structures,0.4,2.0,0.635,7.14,1,0.68
L027,neural_networks,Neural Networks,0.6,15.0,0.042,16.31,3,0.08
L023,neural_networks,Neural Networks,0.6,8.0,0.0,14.49,3,0.065
L027,discrete_mathematics,Discrete Mathematics,0.55,0.0,1.0,20.85,3,0.977
L027,neural_networks,Neural Networks,0.6,17.0,0.013,25.58,3,0.141
L025,data_structures,Data Structures,0.4,11.0,0.197,10.31,2,0.184
L005,dbms_normalization,DBMS Normalization,0.7,15.0,0.064,16.41,4,0.0
L031,operating_systems,Operating Systems,0.6,15.0,0.125,18.08,1,0.01
L014,software_engineering,Software Engineering,0.4,4.0,0.529,10.26,2,0.499
L011,computer_architecture,Computer Architecture,0.5,19.0,0.001,13.37,2,0.1
L028,data_structures,Data Structures,0.4,12.0,0.248,16.25,4,0.172
L036,computer_architecture,Computer Architecture,0.5,12.0,0.107,11.5,2,0.087
L003,ml_fundamentals,ML Fundamentals,0.5,1.0,0.69,13.97,3,0.656
L027,probability_and_statistics,Probability & Statistics,0.65,8.0,0.124,15.25,5,0.078
L009,computer_networks,Computer Networks,0.55,20.0,0.0,14.87,5,0.03
L033,computer_networks,Computer Networks,0.55,12.0,0.009,18.93,1,0.071
L002,operating_systems,Operating Systems,0.6,16.0,0.289,11.96,4,0.051
L037,software_engineering,Software Engineering,0.4,4.0,0.535,15.36,4,0.425
L021,computer_networks,Computer Networks,0.55,0.0,0.982,10.01,5,0.962
L018,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.05,14.7,4,0.017
L018,software_engineering,Software Engineering,0.4,2.0,0.612,13.08,4,0.678
L014,ml_fundamentals,ML Fundamentals,0.5,4.0,0.468,18.01,4,0.437
L019,operating_systems,Operating Systems,0.6,21.0,0.0,20.29,3,0.0
L039,data_structures,Data Structures,0.4,10.0,0.134,18.76,3,0.18
L015,operating_systems,Operating Systems,0.6,15.0,0.085,11.18,3,0.0
L004,data_structures,Data Structures,0.4,1.0,0.804,12.1,2,0.853
L019,data_structures,Data Structures,0.4,21.0,0.037,11.2,2,0.049
L040,data_structures,Data Structures,0.4,4.0,0.581,17.56,4,0.584
L018,algorithm_design,Algorithm Design,0.5,3.0,0.411,17.54,5,0.502
L025,oop_concepts,OOP Concepts,0.35,10.0,0.188,13.6,2,0.028
L011,dbms_normalization,DBMS Normalization,0.7,13.0,0.005,20.05,3,0.014
L023,computer_architecture,Computer Architecture,0.5,11.0,0.012,7.61,5,0.174
L022,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.118,8.14,5,0.0
L017,computer_networks,Computer Networks,0.55,11.0,0.0,12.39,3,0.044
L013,ml_fundamentals,ML Fundamentals,0.5,4.0,0.399,10.15,1,0.382
L040,algorithm_design,Algorithm Design,0.5,0.0,1.0,14.31,3,0.925
L023,computer_networks,Computer Networks,0.55,0.0,0.958,17.2,3,1.0
L009,ml_fundamentals,ML Fundamentals,0.5,0.0,0.975,21.87,3,0.967
L018,dbms_normalization,DBMS Normalization,0.7,5.0,0.607,18.01,1,0.374
L037,operating_systems,Operating Systems,0.6,20.0,0.0,14.02,4,0.0
L006,computer_networks,Computer Networks,0.55,1.0,0.916,14.4,5,0.879
L011,operating_systems,Operating Systems,0.6,11.0,0.162,18.28,3,0.11
L009,software_engineering,Software Engineering,0.4,0.0,1.0,15.97,3,0.97
L018,discrete_mathematics,Discrete Mathematics,0.55,4.0,0.323,9.47,5,0.388
L024,operating_systems,Operating Systems,0.6,6.0,0.232,18.17,2,0.299
L030,ml_fundamentals,ML Fundamentals,0.5,10.0,0.23,14.91,4,0.122
L011,computer_architecture,Computer Architecture,0.5,9.0,0.32,7.85,1,0.207
L013,neural_networks,Neural Networks,0.6,9.0,0.0,23.51,2,0.099
L004,software_engineering,Software Engineering,0.4,9.0,0.193,9.2,3,0.14
L019,neural_networks,Neural Networks,0.6,14.0,0.133,9.67,3,0.064
L035,dbms_normalization,DBMS Normalization,0.7,18.0,0.158,11.54,4,0.009
L002,computer_networks,Computer Networks,0.55,21.0,0.0,13.2,1,0.0
L005,dbms_normalization,DBMS Normalization,0.7,11.0,0.124,21.69,4,0.051
L032,operating_systems,Operating Systems,0.6,15.0,0.058,15.62,4,0.0
L001,algorithm_design,Algorithm Design,0.5,8.0,0.148,7.62,5,0.154
L038,ml_fundamentals,ML Fundamentals,0.5,12.0,0.056,17.65,5,0.1
L017,software_engineering,Software Engineering,0.4,3.0,0.689,11.11,5,0.714
L014,probability_and_statistics,Probability & Statistics,0.65,5.0,0.139,8.36,2,0.302
L037,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.0,13.1,1,0.013
L005,algorithm_design,Algorithm Design,0.5,9.0,0.132,18.61,2,0.138
L008,algorithm_design,Algorithm Design,0.5,0.0,1.0,12.22,2,1.0
L030,discrete_mathematics,Discrete Mathematics,0.55,16.0,0.071,12.88,4,0.005
L013,data_structures,Data Structures,0.4,18.0,0.009,11.4,3,0.059
L040,ml_fundamentals,ML Fundamentals,0.5,10.0,0.046,8.92,3,0.052
L002,computer_architecture,Computer Architecture,0.5,2.0,0.52,13.12,2,0.648
L004,data_structures,Data Structures,0.4,17.0,0.053,19.12,2,0.125
L004,algorithm_design,Algorithm Design,0.5,9.0,0.157,13.79,1,0.129
L019,probability_and_statistics,Probability & Statistics,0.65,16.0,0.0,12.28,5,0.052
L032,computer_architecture,Computer Architecture,0.5,11.0,0.176,10.37,5,0.127
L001,algorithm_design,Algorithm Design,0.5,20.0,0.046,15.68,5,0.0
L037,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.149,21.26,5,0.043
L023,probability_and_statistics,Probability & Statistics,0.65,18.0,0.125,12.02,5,0.0
L012,dbms_normalization,DBMS Normalization,0.7,4.0,0.151,18.45,1,0.227
L032,data_structures,Data Structures,0.4,5.0,0.533,13.49,4,0.496
L002,dbms_normalization,DBMS Normalization,0.7,21.0,0.0,16.94,1,0.0
